                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1667,                 2.5239,                 1.5201,                0.00429,                      1,                0.42711,                  0.323,                0.78651,                 3.0751,                 1.3032,                      0,                      0,                      0
                      2,                 1.1603,                 2.5421,                 1.5416,                0.00429,                      1,                0.44567,                0.33986,                0.76796,                 3.0711,                   1.29,             1.8835e-05,             1.8835e-05,             1.8835e-05
                      3,                 1.3262,                 2.5705,                 1.5878,                0.00429,                      1,                0.60074,                0.48892,                0.77766,                 3.0733,                 1.2935,             3.5341e-05,             3.5341e-05,             3.5341e-05
                      4,                 1.2026,                 2.5846,                 1.5146,                0.00429,                      1,                0.67982,                0.55627,                0.70094,                 3.0829,                 1.2516,             4.9518e-05,             4.9518e-05,             4.9518e-05
                      5,                 1.0426,                 2.3889,                 1.4503,                0.00429,                      1,                0.74659,                 0.5948,                0.64805,                 3.0856,                  1.246,             6.1365e-05,             6.1365e-05,             6.1365e-05
                      6,                 1.0484,                 2.3038,                 1.4463,                0.00429,                      1,                0.73101,                0.56551,                0.64573,                 3.0814,                 1.2588,             7.0882e-05,             7.0882e-05,             7.0882e-05
                      7,                0.95708,                 2.2417,                  1.382,                0.00429,                      1,                0.73957,                0.57977,                0.66139,                 3.0804,                 1.2837,             7.8071e-05,             7.8071e-05,             7.8071e-05
                      8,                0.87017,                 2.5597,                 1.4325,                0.00429,                      1,                0.76191,                0.56399,                0.68246,                 3.1076,                 1.3021,             8.2929e-05,             8.2929e-05,             8.2929e-05
                      9,                0.91687,                 2.5343,                 1.3312,                0.00429,                      1,                0.78338,                0.55615,                0.79152,                 3.0989,                 1.3921,             8.5459e-05,             8.5459e-05,             8.5459e-05
                     10,                0.80715,                 2.0835,                 1.3071,                0.00429,                      1,                0.79595,                0.55683,                0.85468,                 3.0779,                 1.4236,             8.5659e-05,             8.5659e-05,             8.5659e-05
                     11,                 1.0194,                  2.087,                 1.3334,                0.00429,                      1,                0.80418,                0.56734,                0.81506,                 3.0757,                 1.3783,             8.3529e-05,             8.3529e-05,             8.3529e-05
                     12,                 0.8445,                 1.8727,                 1.3009,                0.00429,                      1,                0.80617,                0.60202,                0.85459,                 3.0051,                 1.3611,             7.9071e-05,             7.9071e-05,             7.9071e-05
                     13,                0.74435,                 1.7999,                 1.2523,                0.00429,                      1,                0.80695,                0.64581,                 0.8161,                 2.9745,                 1.3124,             7.2282e-05,             7.2282e-05,             7.2282e-05
                     14,                0.70135,                 1.7299,                   1.19,                0.00429,                      1,                0.79743,                0.62906,                0.77721,                 2.9551,                 1.2728,             6.3165e-05,             6.3165e-05,             6.3165e-05
                     15,                0.65528,                 1.5774,                 1.1269,                0.00429,                      1,                 0.8011,                0.63308,                0.77972,                  2.922,                 1.2561,             5.1718e-05,             5.1718e-05,             5.1718e-05
                     16,                 0.7252,                  1.674,                 1.2439,                0.00429,                      1,                 0.8122,                0.65002,                0.75557,                 2.9111,                 1.2439,             3.7941e-05,             3.7941e-05,             3.7941e-05
                     17,                0.86951,                 1.7458,                 1.2027,                0.00812,                      1,                0.82295,                0.65617,                0.76694,                 2.8973,                 1.2446,             2.1835e-05,             2.1835e-05,             2.1835e-05
